,Question,Category,Source
142,Which classic ’60s song has NOT been covered by William Shatner?,Entertainment,hq_buff_us
143,Which sitcom starred an actor who got his break by winning the first comedy competition on “Star Search”?,TV,hq_buff_us
144,Which city is NOT home to a mass transit system listed as a National Historic Landmark?,Culture,hq_buff_us
145,"In the Bible, what method of transportation did Noah use to survive the flood?",Culture,hq_buff_us
146,An old saying advises against making a mountain out of what?,Language,hq_buff_us
147,"By definition, which of these people claims to have extrasensory powers?",Culture,hq_buff_us
148,Which of these creatures is typically the smallest?,Nature,hq_buff_us
149,Near what city would you find the Disney property officially known as The Magic Kingdom?,Geography,hq_buff_us
150,Which American artist was known for his mobiles?,Art & Design,hq_buff_us
151,Which of these beers is made by a fully US-owned company?,Business,hq_buff_us
152,Who was the original host of Comedy Central’s “The Daily Show”?,TV,hq_buff_us
153,What band had a hit ’90s song with almost the exact same title as Tag Team’s “Whoomp! (There It Is)”?,Music,hq_buff_us
154,Which of these words appears in Lewis Carroll’s “Jabberwocky”?,Literature,hq_buff_us
155,The Komodo dragon is the national animal of where?,Nature,hq_buff_us
156,"To prevent plot leaks, what claim did Darth Vader make in the actors’ script for “Empire Strikes Back”?",Movies,hq_buff_us
157,A shirt that rises up to cover your throat is said to have what kind of neck?,Fashion,hq_buff_us
158,CO2 is the chemical formula for what substance?,Science,hq_buff_us
159,"Supposedly home to strange UFO experiments, Area 51 is located in what US state?",Geography,hq_buff_us
160,"Of these languages, which is believed to be the oldest?",Culture,hq_buff_us
161,Marc Maron began his popular podcast by interviewing people in what field?,Culture,hq_buff_us
162,What do worker bees do to let others in the hive know about food sources?,Nature,hq_buff_us
163,"The quote “Good artists copy, great artists steal” was often used by which of these people?",Tech,hq_buff_us
164,What network’s former head is now internationally famous for writing biographies?,TV,hq_buff_us
165,Annie Leibovitz’s famous photo of John Lennon and Yoko Ono appeared on the cover of which magazine?,Culture,hq_buff_us
166,Which of these films was John Hughes’s last movie working with Molly Ringwald?,Movies,hq_buff_us
167,Which of these bestselling novels was considered a flop when it was first released?,Literature,hq_buff_us
168,What Hollywood industry term is mentioned in the “Animaniacs” theme song?,Music,hq_buff_us
169,Which of these is the name of a popular video gaming platform?,Games,hq_buff_us
170,What classic game involves stacking falling pieces called “polyominoes”?,Games,hq_buff_us
171,What genre is the popular online game “World of Warcraft” typically classified as?,Games,hq_buff_us
172,A recent update to “Fortnite” lets players do what to the driver of the battle bus?,Games,hq_buff_us
173,What Nintendo Switch game notably sold more copies than there were consoles to play it on?,Games,hq_buff_us
174,"In the game “Skyrim,” characters often complain that they once “took an arrow” where?",Games,hq_buff_us
175,What is the first input to the famous “Konami Code”?,Games,hq_buff_us
176,"In “GoldenEye 007” on Nintendo 64, the Oddjob avatar was controversial mainly because of his what?",Games,hq_buff_us
177,Which is NOT a fan complaint regularly leveled at “Overwatch”?,Games,hq_buff_us
178,What wacky bowling variation is available in “Wii Sports Resort”?,Games,hq_buff_us
179,The inspiration for both “DotA” and “League of Legends” dates back to a fan-made map in what other game?,Games,hq_buff_us
180,"In the original “Super Mario Bros.”, the flag that players jump on to finish levels appears to show a what?",Games,hq_buff_us
181,A baseball player who bats both right and left handed is known as what?,Sports,hq_buff_us
182,Which word commonly refers to a track and field obstacle roughly 30 to 40 inches high?,Sports,hq_buff_us
183,In what sport is play frequently restarted with something called a “scrum”?,Sports,hq_buff_us
184,What competition features a team of US golfers facing a team from Europe?,Sports,hq_buff_us
185,What US Division I college sport has the fewest number of teams in its official playoff tournament?,Sports,hq_buff_us
186,Which MLB career record is NOT held by Rickey Henderson?,Sports,hq_buff_us
187,"What sport features an important piece of equipment called a ""stump""?",Sports,hq_buff_us
188,In what city is it possible to hit the shortest over-the-fence home run in Major League Baseball?,Sports,hq_buff_us
189,What team eliminated Michael Jordan’s Bulls from the playoffs the greatest number of times?,Sports,hq_buff_us
190,The first woman to record a point in men’s pro hockey did so while playing in what country?,Sports,hq_buff_us
191,Which fighting style was NOT represented at the original UFC 1 tournament?,Sports,hq_buff_us
192,"As measured by number of games, which record streak is the longest?",Sports,hq_buff_us
193,What type of school typically does NOT hold classes during the middle of the day?,Language,hq_buff_us
194,"In a classic fairytale, what does the Ugly Duckling grow into?",Literature,hq_buff_us
195,What shape is typically featured on US “one way” road signs?,Civics,hq_buff_us
196,A square-topped cap known as a “mortarboard” is typically worn at what special occasion?,Culture,hq_buff_us
197,Which of these subjects would most likely be covered in math class?,Math,hq_buff_us
198,What legendary comedian constantly complained about getting “no respect”?,Entertainment,hq_buff_us
199,The Latin phrase “carpe diem” most closely translates to which of these?,Language,hq_buff_us
200,"When it comes to high school proms, what is the word “prom” actually short for?",Language,hq_buff_us
201,Which Ivy League school is located in the “Nutmeg State”?,Civics,hq_buff_us
202,Which of these geographical pairings has the smallest combined population?,Geography,hq_buff_us
203,What geometric form is made by cutting the tip off of a cone?,Math,hq_buff_us
204,Which of these animals tends to have the largest number of neck vertebrae?,Nature,hq_buff_us
205,What state’s entire eastern and western borders are defined by rivers?,Geography,hq_buff_us
206,What word is NOT in the English translation of France’s national motto?,History,hq_buff_us
207,On what continent would you find the world’s largest pyramid by volume?,Geography,hq_buff_us
208,The programming language Javascript was originally known as what?,Tech,hq_buff_us
209,Which of these bones in the human body is typically the smallest?,Science,hq_buff_us
210,Who was NOT an author of the Federalist Papers?,History,hq_buff_us
211,Britain’s national anthem has pretty much the same tune as what US song?,Culture,hq_buff_us
212,Which of these cities is at a lower latitude than the others?,Geography,hq_buff_us
213,An angel attempts to pull an old woman from hell using an onion in a famous work by which author?,Literature,hq_buff_us
214,Which of these numbers is divisible by 11?,Math,hq_buff_us
215,Which of these words is NOT in the lyrics to Bon Jovi’s “Livin’ on a Prayer”?,Music,hq_buff_us
216,Which sitcom once featured two actors who played the same character in a “Twilight Zone” episode and its movie remake?,TV,hq_buff_us
217,Which trigonometry ratio’s three-letter abbreviation is a common English word?,Math,hq_buff_us
218,Which of these words is NOT derived from Hindi?,Language,hq_buff_us
219,Which of these stars is believed to have the coldest surface temperature?,Science,hq_buff_us
220,A screwball comedy Stanley Kubrick wanted to make with Steve Martin later became what non-comedy?,Movies,hq_buff_us
221,Windows users are asked to drag unwanted files to what desktop icon?,Tech,hq_buff_us
222,"As its title suggests, in which of these games can players get into trouble by digging straight down?",Games,hq_buff_us
223,"On a typical US calculator, AC stands for what?",Tech,hq_buff_us
224,Modern gas-powered automobiles run on which type of engine?,Science,hq_buff_us
225,"Established in 1969, a precursor to the internet was called what?",Tech,hq_buff_us
226,The Macintosh was introduced in an ambitious TV ad directed by whom?,Tech,hq_buff_us
227,The man who patented the telephone also invented a means for transmitting speech through what?,Science,hq_buff_us
228,"In 2009, South Africa’s ADSL internet infamously failed a speed test against what?",Tech,hq_buff_us
229,Steve Jobs picked the name “Apple” partly because it specifically came before what in the phone book?,Tech,hq_buff_us
230,What product comes with a “Bioweapon Defense Mode” for use in case of apocalyptic catastrophe?,Tech,hq_buff_us
231,The first known televised use of “google” as a verb was in 2002 on what show?,Tech,hq_buff_us
232,The enigmatic creator of Bitcoin goes by the same first name as the creator of what game?,Tech,hq_buff_us
233,You can easily make crunchy croutons for your salad at home using what?,Cuisine,hq_buff_us
234,Waist trainers are modern versions of what article of clothing?,Fashion & Design,hq_buff_us
235,"In baseball, which player is positioned behind home plate?",Sports,hq_buff_us
236,What was the title of the founder of the People’s Republic of China?,History,hq_buff_us
237,"By definition, being part of the “hoi polloi” means you’re part of what?",History,hq_buff_us
238,Which of these classic pasta dishes usually includes tomatoes?,Cuisine,hq_buff_us
239,The star of which film franchise was a competitive diver?,Movies,hq_buff_us
240,The Vikings considered the Norse god Ullr the God of what?,Sports,hq_buff_us
241,Which author’s work inspired one of Lana Del Rey’s album titles?,Music,hq_buff_us
242,Buuz dumplings are most popular in which country?,Food & Drink,hq_buff_us
243,What video game franchise based its combat system on American football?,Games,hq_buff_us
244,The actor behind which classic TV character voiced roles in the Power Rangers TV show AND film?,TV,hq_buff_us
245,"In the US, the sport of rowing is often called what?",Sports,hq_buff_us
246,Which is NOT a common position in ice hockey?,Sports,hq_buff_us
247,How long is an NFL field goal attempt if the line of scrimmage is the 30 yard line?,Sports,hq_buff_us
248,Which American skier won gold in an Olympics event most recently?,Sports,hq_buff_us
249,What quarterback caught a pass for a two-point conversion in his NFL debut?,Sports,hq_buff_us
250,What pitcher has the record for most no-hitters in MLB history?,Sports,hq_buff_us
251,What fighter does NOT have a winning record against Evander Holyfield?,Sports,hq_buff_us
252,"When Aaron Judge returned from his 2018 wrist injury, his first appearance was as what?",Sports,hq_buff_us
253,Which of these leagues doubled in size in a single year in the 1960s?,Sports,hq_buff_us
254,The current world record in women’s long jump was set by an athlete competing for what place?,Sports,hq_buff_us
255,Whose record consecutive games streak did Lou Gehrig break?,Sports,hq_buff_us
256,"In high school, which athlete did NOT receive state player of the year awards in both basketball and football?",Sports,hq_buff_us
257,Lin-Manuel Miranda recently made his mark on Broadway with a blockbuster musical about what?,Theater,hq_buff_us
258,Which of these legendary musical characters wears a half-face mask?,Theater,hq_buff_us
259,"Elphaba, Glinda, and the Wizard of Oz are all main characters in which musical?",Theater,hq_buff_us
260,Which of these would be considered a jukebox musical?,Theater,hq_buff_us
261,"In “West Side Story,” which of these is the name of one of the gangs?",Theater,hq_buff_us
262,Which of these Broadway musicals is based on the opera “La Bohème”?,Theater,hq_buff_us
263,Which renowned composer wrote a hit musical about a man who stole a loaf of bread?,Theater,hq_buff_us
264,Which of these Broadway musicals started out as a movie?,Theater,hq_buff_us
265,Which actor has NOT played a Broadway role made famous by a Liza Minnelli film?,Theater,hq_buff_us
266,Which of these musicals had a Broadway revival featuring American Sign Language?,Theater,hq_buff_us
267,Which show-stopping number was originally written for a musical version of “Flowers for Algernon”?,Theater,hq_buff_us
268,"According to the show’s program, which of these musicals is NOT referenced in “Hamilton”?",Theater,hq_buff_us
269,"According to legend, William Tell used a bow and arrow to shoot what off his son’s head?",Culture,hq_buff_us
270,The title of the video game “Super Mario Bros.” refers to what brothers?,Games,hq_buff_us
271,Which of these animals breathes through gills?,Nature,hq_buff_us
272,Which of these words means both “hello” and “goodbye”?,Language,hq_buff_us
273,A full English breakfast traditionally includes which of these foods?,Cuisine,hq_buff_us
274,"By definition, a person with “tall poppy syndrome” dislikes what?",Culture,hq_buff_us
275,Which band is fronted by a person who also created a wildly successful “virtual band”?,Music,hq_buff_us
276,Which of these words does NOT refer to an area of vegetation?,Language,hq_buff_us
277,Which show’s pilot episode cost so much that a network executive was fired over it?,TV,hq_buff_us
278,Which word is derived from the last name of the target of a famous protest?,Language,hq_buff_us
279,Which of these companies changed its original name because of its morbid connotation?,Tech,hq_buff_us
280,"The initials of the band LFO, famous for “Summer Girls,” stand for what?",Music,hq_buff_us
281,Who described Helen of Troy as “the face that launch’d a thousand ships”?,Literature,hq_buff_us
282,Which of these was NOT a rejected character for Disney's “Snow White and the Seven Dwarfs?”,Movies,hq_buff_us
283,"At the very end of “Frasier,” Frasier Crane leaves Seattle in favor of what city?",TV,hq_buff_us
284,Athleisure is a fashion trend focused on wearing what?,Fashion,hq_buff_us
285,A massively popular video game that asks players to actually dance is named “Dance Dance” what?,Games,hq_buff_us
286,Snow globes are unsurprisingly the invention of which country?,Culture,hq_buff_us
287,Which Mexican dish traditionally features tortillas as a main ingredient?,Cuisine,hq_buff_us
288,Which of these is NOT considered a noble gas?,Science,hq_buff_us
289,Bugs Meany was the recurring villain in which YA series?,Literature,hq_buff_us
290,Which of these people helped found New York City’s first private orphanage?,History,hq_buff_us
291,In which of these countries are nearly all new smartphones waterproof?,Tech,hq_buff_us
292,Which of these designers once had a fragrance called “Kingdom”?,Fashion,hq_buff_us
293,Which of these countries’ national flags depicts the top of a traditional tent?,Geography,hq_buff_us
294,Which of these sports figures has NOT hosted “Saturday Night Live”?,TV,hq_buff_us
295,"In the lyrics of “My Favorite Things,” what color are the ponies?",Music,hq_buff_us
296,A swimming pool that appears boundless on at least one side is known as what?,Art & Design,hq_buff_us
297,"In the classic parable “The Emperor’s New Clothes,” what does the Emperor end up wearing?",Literature,hq_buff_us
298,Isosceles and equilateral are two kinds of what geometric shape?,Math,hq_buff_us
299,A coda usually occurs at what part of a story?,Literature,hq_buff_us
300,Gallstones can most directly affect which of these organs?,Science,hq_buff_us
301,Which of these fashion brands is known for its bamboo details in handbags?,Fashion,hq_buff_us
302,"In the Black Eyed Peas hit “Boom Boom Pow,” Fergie brags about being from what era?",Music,hq_buff_us
303,Which of these streets runs alongside one edge of Manhattan’s Central Park?,Geography,hq_buff_us
304,The skeptical partner in “The X-Files” was named after an announcer for what baseball team?,Sports,hq_buff_us
305,The biggest flower in the world is native to which country?,Nature,hq_buff_us
306,"In Robert Palmer’s “Addicted to Love” music video, which band member’s dress is off-the-shoulder?",Music,hq_buff_us
307,Who directed the first PG-13 film to be nominated for a Best Picture Oscar?,Movies,hq_buff_us
308,The time off some offices have at the end of the week in summer months is called what?,Culture,hq_buff_us
309,Which of these is an iPhone feature that allows you to see the people you call?,Tech,hq_buff_us
310,The aluminum tab that opens a soda can has what nickname?,Culture,hq_buff_us
311,In what sports league is the last part of the regular season often referred to as a “pennant race”?,Sports,hq_buff_us
312,The Puerto Rican dish Mofongo is usually made with what main ingredient?,Cuisine,hq_buff_us
313,The gemstone peridot is known for being closest to which of these colors?,Fashion,hq_buff_us
314,Which character was NOT in Mary Shelley’s “Frankenstein”?,Literature,hq_buff_us
315,Which of these movies did better at the box office than the original film in its series?,Movies,hq_buff_us
316,Which of these Eastern European countries reaches the farthest south?,Geography,hq_buff_us
317,Which of these films features a car built by its lead actor in real life?,Movies,hq_buff_us
318,The production credit at the end of every episode of the TV show “House’” mentions what accessory?,Entertainment,hq_buff_us
319,Iggy Azalea’s hit 2014 song “Fancy” mentions a brand of which type of alcohol?,Music,hq_buff_us
320,What did Cinderella leave behind at the ball?,Movies,hq_buff_us
321,Where did the title character in Disney’s “The Little Mermaid” live at the start of the film?,Movies,hq_buff_us
322,Which classic Disney film features a key character named Mufasa?,Movies,hq_buff_us
323,"The Darling family in “Peter Pan” had an aptly named dog, Nana, who performed what job?",Movies,hq_buff_us
324,"In Disney’s “Pinocchio,” children who come to Pleasure Island are turned into what?",Movies,hq_buff_us
325,Which of these classic Disney characters speaks the fewest words?,Movies,hq_buff_us
326,Walt Disney’s daughter was said to have objected to which character’s arc?,Movies,hq_buff_us
327,A mysterious merchant in the beginning of Disney’s “Aladdin” is actually what other character in disguise?,Movies,hq_buff_us
328,Which of these lyrics is from the Disney movie whose plot was directly inspired by “Hamlet”?,Movies,hq_buff_us
329,Which of these villains sings her own musical number in her original Disney film?,Movies,hq_buff_us
330,"In Disney’s “Sleeping Beauty,” which fairy godmother wants the dress to be blue?",Movies,hq_buff_us
331,Which of these Disney princesses is oldest in her original film?,Movies,hq_buff_us
332,Which of these is a standard offensive position on an NFL football team?,Sports,hq_buff_us
333,Chloe Kim won the ESPY for Best Female Athlete for dominating what sport?,Sports,hq_buff_us
334,Which track and field event does NOT typically involve landing in a sand pit?,Sports,hq_buff_us
335,"In the Super Bowl era, what QB has the record for most TD passes in the first two weeks of an NFL season?",Sports,hq_buff_us
336,"In the MLB, which of these rules specifically changes in the month of September?",Sports,hq_buff_us
337,What official nickname is given to the teams that make the NCAA hockey semifinals?,Sports,hq_buff_us
338,What team plays in the oldest ballpark in Major League Baseball?,Sports,hq_buff_us
339,The first College Football Playoff was won by a team from what conference?,Sports,hq_buff_us
340,Which of these NBA players had the worst career free throw percentage?,Sports,hq_buff_us
341,Who is the only pitcher to accumulate triple-digit complete games as well as triple-digit saves?,Sports,hq_buff_us
342,"To play against the US in the Ryder Cup, a golfer must have what qualification?",Sports,hq_buff_us
343,What is the only tennis Grand Slam tournament that once paid women’s winners more than men?,Sports,hq_buff_us
344,Paleolithic is another word for what long-ago era of time?,History,hq_buff_us
345,Exposure to the sun is directly helpful in raising a person’s what?,Science,hq_buff_us
346,"When exercising, holding a “plank” means your hips are where?",Sports,hq_buff_us
347,Which of these chorus parts features the lowest vocal range?,Entertainment,hq_buff_us
348,A dessert of strawberries and cream sometimes goes by which name?,Cuisine,hq_buff_us
349,Which of these films does NOT feature twins separated at birth?,Movies,hq_buff_us
350,Which of these companies once devoted a day to the popular “Rickroll” meme?,Tech,hq_buff_us
351,"Not to be confused with “camping,” which of these authors famously wrote an essay about “camp”?",Literature,hq_buff_us
352,The NFL star who infamously changed his last name to the Spanish for “eight five” played what position?,Sports,hq_buff_us
353,In which language is a dog’s bark known as “voff-voff”?,Culture,hq_buff_us
354,Which of these Canadians has acted in a film alongside Clint Eastwood?,Movies,hq_buff_us
